id,name,price,brand,subBrand,km,fuel,transmission_name,city,year
4379,Range Rover Sport SDV6,54200,Land Rover,Range Rover Sport,141390,Diesel,Automatic,"Riedmattstrasse 8, 8153 Rümlang",2019
4369,PORSCHE Panamera S E-Hybrid,40100,Porsche,Panamera,109416,Petrol,Automatic,"Riedmattstrasse 8, 8153 Rümlang",2013
4359,Range Rover Evoque Si4,14000,Land Rover,Range Rover Evoque,186314,Petrol,Automatik,"Riedmattstrasse 8, 8153 Rümlang",2014
4349,X3 M40i,42200,Bmw,X3,90643,Petrol,Automatik,"Riedmattstrasse 8, 8153 Rümlang",2018
4339,Cayenne S Tiptronic S,34600,Porsche,Cayenne,113183,Hybrid,Automatic,"Riedmattstrasse 8, 8153 Rümlang",2015
4329,SQ2 TFSI quattro S tronic,32400,Audi,Q2,93800,Petrol,Automatik,"Riedmattstrasse 8, 8153 Rümlang",2019
4319,Tiguan 2.0 TSI 4Motion OPF DSG,44400,Vw,Tiguan,80,Petrol,Automatik,"Riedmattstrasse 8, 8153 Rümlang",2021
4302,E 200 4Matic T 9G-TRONIC,27000,Mercedes-benz,E-klasse,129113,Petrol,Automatik,,2018
4292,Range Rover Sport P635,217100,Land Rover,Range Rover Sport,3950,Petrol,Automatik,,2024
4208,GL 320 CDI 4Matic 7G-TRONIC,10990,Mercedes-benz,Gl-klasse,231326,Diesel,Automatic,,2008
4215,Audi,18800,Audi,A6,153000,Diesel,Automatic,,
4194,XC40 D3 AWD Geartronic,26900,Volvo,Xc40,97267,Diesel,Automatik,,2018
4156,Vw,13800,Vw,Eos,167000,Diesel,Automatik,Prishtinë,2012
4125,Peugeot,12900,Peugeot,2008,105119,Benzin,Automatik,Prishtinë,2018
4089,Citroen,14000,Citroen,Jumper,65000,Diesel,Manuelles Getriebe,Gjilan,2016
4034,Audi,26900,Audi,Q3,114159,Diesel,Automatik,Prishtinë,2019
4024,Citroen,17800,Citroen,C3 Aircross,167394,Diesel,Automatik,Prishtinë,2022
4009,Renault ,19500,Renault,Captur,55000,Petrol,Manual,Prishtinë,2022
3926,Peugeot,4700,Peugeot,308,305000,Diesel,Manuelles Getriebe,null,2008
3692,Bmw,26000,Bmw,5er,260000,Diesel,Automatik,,2017
3836,Audi,13800,Audi,A6,315000,Diesel,Automatik,,2012
